feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
wake_bp_delta,9m,A,animal_id,0.14738,0.171501,0.185221,0.147403,0.2366,0.761905,6,4,0.993789,ns
wake_bp_theta,9m,A,animal_id,0.030587,0.034923,0.037856,0.029101,0.2261,0.47619,6,4,0.993789,ns
wake_bp_alpha,9m,A,animal_id,0.016192,0.018766,0.01903,0.015038,0.1669,0.352381,6,4,0.993789,ns
wake_bp_beta,9m,A,animal_id,0.017322,0.020342,0.021224,0.014994,0.2184,0.257143,6,4,0.993789,ns
wake_bp_gamma,9m,A,animal_id,0.01033,0.011495,0.036256,0.054564,0.6575,0.352381,6,4,0.993789,ns
wake_rbp_delta,9m,A,animal_id,0.44806,0.101081,0.420294,0.063778,-0.3285,0.47619,6,4,0.993789,ns
wake_rbp_theta,9m,A,animal_id,0.235329,0.015849,0.249333,0.008887,1.0899,0.114286,6,4,0.993789,ns
wake_rbp_alpha,9m,A,animal_id,0.129227,0.029854,0.135938,0.013797,0.2886,0.47619,6,4,0.993789,ns
wake_rbp_beta,9m,A,animal_id,0.121078,0.034832,0.126183,0.037354,0.1414,0.914286,6,4,0.993789,ns
wake_rbp_gamma,9m,A,animal_id,0.066306,0.030841,0.068252,0.04376,0.0514,0.914286,6,4,0.993789,ns
wake_td_ratio,9m,A,animal_id,0.682279,0.268429,0.720836,0.105991,0.1889,0.352381,6,4,0.993789,ns
wake_theta_alpha,9m,A,animal_id,2.251714,0.391281,2.244563,0.276427,-0.0211,0.914286,6,4,0.993789,ns
wake_theta_beta,9m,A,animal_id,2.655543,0.729348,2.567873,0.811658,-0.1136,0.914286,6,4,0.993789,ns
wake_slow_fast,9m,A,animal_id,1694.464614,4131.031558,596.800502,1176.79514,-0.3614,0.914286,6,4,0.993789,ns
wake_high_freq_idx,9m,A,animal_id,0.187384,0.061518,0.194435,0.057496,0.1184,0.914286,6,4,0.993789,ns
wake_spectral_entropy,9m,A,animal_id,0.809257,0.07868,0.804059,0.06931,-0.0701,0.761905,6,4,0.993789,ns
wake_ap_exp,9m,A,animal_id,1.754357,0.331051,1.778489,0.259922,0.0811,0.761905,6,4,0.993789,ns
wake_total_var,9m,A,animal_id,0.305733,0.331964,0.562742,0.625938,0.513,0.352381,6,4,0.993789,ns
wake_rms,9m,A,animal_id,0.188612,0.089182,0.293119,0.294704,0.48,0.914286,6,4,0.993789,ns
wake_p2p,9m,A,animal_id,1.254452,0.521852,1.639809,1.244243,0.4039,1.0,6,4,1.0,ns
wake_zcr,9m,A,animal_id,0.09137,0.020356,0.079663,0.027912,-0.4792,0.609524,6,4,0.993789,ns
wake_coeff_var,9m,A,animal_id,98.946399,112.254349,37.911237,40.988225,-0.7223,0.914286,6,4,0.993789,ns
wake_hjorth_mob,9m,A,animal_id,0.292525,0.06604,0.257719,0.091714,-0.4355,0.609524,6,4,0.993789,ns
wake_hjorth_comp,9m,A,animal_id,4.796688,1.270588,4.90786,0.960354,0.0987,0.761905,6,4,0.993789,ns
wake_lzc,9m,A,animal_id,0.050229,0.000611,0.050436,0.000415,0.3963,0.352381,6,4,0.993789,ns
nrem_bp_delta,9m,A,animal_id,0.001923,0.002176,0.003168,0.005232,0.3107,0.609524,6,4,0.993789,ns
nrem_bp_theta,9m,A,animal_id,0.002503,0.002953,0.004288,0.0069,0.3364,0.914286,6,4,0.993789,ns
nrem_bp_alpha,9m,A,animal_id,0.001193,0.001422,0.001959,0.003184,0.3106,0.914286,6,4,0.993789,ns
nrem_bp_beta,9m,A,animal_id,0.001029,0.001141,0.001322,0.001911,0.1862,1.0,6,4,1.0,ns
nrem_bp_gamma,9m,A,animal_id,0.000533,0.000587,0.000573,0.000843,0.055,0.914286,6,4,0.993789,ns
nrem_rbp_delta,9m,A,animal_id,0.299628,0.076297,0.269016,0.044379,-0.4905,0.47619,6,4,0.993789,ns
nrem_rbp_theta,9m,A,animal_id,0.333527,0.019223,0.37782,0.018381,2.3552,0.038095,6,4,0.993789,*
nrem_rbp_alpha,9m,A,animal_id,0.153165,0.027829,0.159609,0.006631,0.3185,0.914286,6,4,0.993789,ns
nrem_rbp_beta,9m,A,animal_id,0.13998,0.030363,0.139544,0.036248,-0.013,0.914286,6,4,0.993789,ns
nrem_rbp_gamma,9m,A,animal_id,0.0737,0.038052,0.054011,0.028523,-0.5855,0.47619,6,4,0.993789,ns
nrem_td_ratio,9m,A,animal_id,1.30747,0.435257,1.616833,0.241263,0.8791,0.114286,6,4,0.993789,ns
nrem_theta_alpha,9m,A,animal_id,2.566917,0.376726,2.762209,0.230547,0.6253,0.257143,6,4,0.993789,ns
nrem_theta_beta,9m,A,animal_id,2.757196,0.694535,3.159299,0.833307,0.5242,0.47619,6,4,0.993789,ns
nrem_slow_fast,9m,A,animal_id,3.708356,1.672637,3.982532,1.360207,0.1799,0.761905,6,4,0.993789,ns
nrem_high_freq_idx,9m,A,animal_id,0.21368,0.062887,0.193555,0.06086,-0.3252,0.761905,6,4,0.993789,ns
nrem_spectral_entropy,9m,A,animal_id,0.884673,0.052254,0.86907,0.039763,-0.336,0.914286,6,4,0.993789,ns
nrem_ap_exp,9m,A,animal_id,1.676983,0.380894,1.750349,0.281831,0.219,0.609524,6,4,0.993789,ns
nrem_total_var,9m,A,animal_id,0.007536,0.008506,0.011645,0.018566,0.2845,0.914286,6,4,0.993789,ns
nrem_rms,9m,A,animal_id,0.080259,0.043194,0.099752,0.098826,0.2556,0.914286,6,4,0.993789,ns
nrem_p2p,9m,A,animal_id,0.565,0.385356,0.616955,0.615187,0.1012,0.914286,6,4,0.993789,ns
nrem_zcr,9m,A,animal_id,0.101888,0.024821,0.077285,0.021261,-1.0646,0.171429,6,4,0.993789,ns
nrem_coeff_var,9m,A,animal_id,81.603101,88.526635,26.143866,40.698375,-0.805,0.761905,6,4,0.993789,ns
nrem_hjorth_mob,9m,A,animal_id,0.320584,0.079275,0.245413,0.069743,-1.0068,0.171429,6,4,0.993789,ns
nrem_hjorth_comp,9m,A,animal_id,4.125479,1.244752,4.438129,0.738818,0.3055,0.47619,6,4,0.993789,ns
nrem_lzc,9m,A,animal_id,0.050066,0.000775,0.050275,0.000385,0.3427,0.609524,6,4,0.993789,ns
all_bp_delta,9m,A,animal_id,0.093548,0.108623,0.110935,0.08867,0.1754,0.761905,6,4,0.993789,ns
all_bp_theta,9m,A,animal_id,0.020188,0.021872,0.024133,0.019505,0.1904,0.609524,6,4,0.993789,ns
all_bp_alpha,9m,A,animal_id,0.010643,0.011679,0.012053,0.009986,0.1298,1.0,6,4,1.0,ns
all_bp_beta,9m,A,animal_id,0.011282,0.012687,0.013104,0.009442,0.1629,0.257143,6,4,0.993789,ns
all_bp_gamma,9m,A,animal_id,0.006688,0.007178,0.021361,0.032009,0.6326,0.352381,6,4,0.993789,ns
all_rbp_delta,9m,A,animal_id,0.392351,0.086456,0.360353,0.052109,-0.4483,0.352381,6,4,0.993789,ns
all_rbp_theta,9m,A,animal_id,0.271847,0.01309,0.300182,0.010799,2.3614,0.019048,6,4,0.993789,*
all_rbp_alpha,9m,A,animal_id,0.138455,0.027102,0.145623,0.009771,0.3519,0.47619,6,4,0.993789,ns
all_rbp_beta,9m,A,animal_id,0.128247,0.032419,0.131694,0.036643,0.0996,0.914286,6,4,0.993789,ns
all_rbp_gamma,9m,A,animal_id,0.069099,0.033206,0.062147,0.033243,-0.2093,0.609524,6,4,0.993789,ns
all_td_ratio,9m,A,animal_id,0.912196,0.312206,1.06876,0.14358,0.6443,0.114286,6,4,0.993789,ns
all_theta_alpha,9m,A,animal_id,2.362975,0.370551,2.443658,0.257074,0.253,0.761905,6,4,0.993789,ns
all_theta_beta,9m,A,animal_id,2.685336,0.681064,2.793887,0.809936,0.1451,0.761905,6,4,0.993789,ns
all_slow_fast,9m,A,animal_id,1071.616598,2609.676368,348.616383,684.292449,-0.379,0.914286,6,4,0.993789,ns
all_high_freq_idx,9m,A,animal_id,0.197347,0.060927,0.193841,0.055325,-0.0602,1.0,6,4,1.0,ns
all_spectral_entropy,9m,A,animal_id,0.838112,0.064361,0.831088,0.055891,-0.1165,1.0,6,4,1.0,ns
all_ap_exp,9m,A,animal_id,1.725531,0.347678,1.768055,0.264287,0.1377,0.609524,6,4,0.993789,ns
all_total_var,9m,A,animal_id,0.195203,0.209649,0.334988,0.373053,0.462,0.47619,6,4,0.993789,ns
all_rms,9m,A,animal_id,0.148048,0.064114,0.213372,0.212503,0.4162,0.914286,6,4,0.993789,ns
all_p2p,9m,A,animal_id,0.998084,0.407619,1.221479,0.974111,0.2992,1.0,6,4,1.0,ns
all_zcr,9m,A,animal_id,0.095348,0.021652,0.078559,0.023952,-0.7354,0.171429,6,4,0.993789,ns
all_coeff_var,9m,A,animal_id,92.792571,103.55065,33.163102,40.317797,-0.7589,0.761905,6,4,0.993789,ns
all_hjorth_mob,9m,A,animal_id,0.303277,0.070023,0.252356,0.079327,-0.6806,0.352381,6,4,0.993789,ns
all_hjorth_comp,9m,A,animal_id,4.538225,1.230338,4.717647,0.853968,0.1694,0.609524,6,4,0.993789,ns
all_lzc,9m,A,animal_id,0.050176,0.000651,0.050379,0.000388,0.3789,0.609524,6,4,0.993789,ns
